                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.7149,                 1.1204,                0.78447,                 1.1209,                 0.8033,                0.84859,                0.90724,                 0.7377,                0.79674,                0.84026,                0.89602,                0.70067,                0.69205,                 1.7655,                0.75625,                 1.2519,              0.0088615,              0.0088615,              0.0088615
                     25,                0.74229,                 1.0385,                0.76942,                 1.1496,                0.69281,                0.73752,                 0.7741,                 0.6095,                0.68112,                0.73101,                0.76031,                0.56791,                0.77972,                   2.03,                 1.3897,                 1.3017,               0.008812,               0.008812,               0.008812
                     26,                0.72155,                  1.061,                0.72319,                 1.1276,                0.71697,                0.72078,                0.75631,                  0.586,                0.70449,                0.70431,                0.73369,                0.54543,                  0.738,                 2.3452,                 1.3424,                 1.3006,              0.0087625,              0.0087625,              0.0087625
                     27,                0.76892,                   1.25,                0.79993,                 1.1622,                0.74879,                0.82298,                0.82689,                0.62916,                0.74059,                0.81465,                 0.8151,                0.59378,                0.81213,                  2.059,                0.96143,                 1.4325,               0.008713,               0.008713,               0.008713
                     28,                0.72453,                 1.0972,                0.76229,                 1.1339,                0.73944,                 0.7543,                0.79135,                0.63111,                0.72953,                0.74597,                0.77498,                0.58938,                0.72913,                 1.9366,                  1.066,                 1.3266,              0.0086635,              0.0086635,              0.0086635
                     29,                0.72779,                 1.0397,                 0.7366,                 1.1384,                0.84558,                 0.8204,                0.89022,                0.72172,                0.83665,                0.81226,                 0.8636,                0.67598,                0.67966,                 1.7576,                0.83803,                 1.2322,               0.008614,               0.008614,               0.008614
                     30,                 0.7242,                 1.0649,                0.69454,                 1.1141,                0.83832,                0.83847,                0.88533,                0.70454,                0.80648,                0.80499,                0.84907,                0.65285,                 0.7005,                 1.7899,                0.77721,                 1.2416,              0.0085645,              0.0085645,              0.0085645
                     31,                0.69618,                 1.1087,                 0.7038,                  1.121,                0.62461,                0.57016,                0.53058,                0.40142,                0.62757,                0.57052,                0.51846,                0.36668,                0.83464,                 2.1452,                 1.9301,                 1.3919,               0.008515,               0.008515,               0.008515
                     32,                0.69795,                 1.0574,                0.71747,                 1.1092,                 0.5918,                0.63391,                0.61753,                0.49548,                 0.5838,                0.61688,                0.59185,                0.45671,                0.78731,                 2.2467,                 1.7436,                 1.4116,              0.0084655,              0.0084655,              0.0084655
                     33,                0.70704,                 1.0586,                0.66473,                 1.1203,                0.79537,                0.75261,                0.80356,                0.64168,                0.78976,                0.72483,                0.78385,                0.61597,                0.75129,                 1.8071,                 1.0778,                 1.3804,               0.008416,               0.008416,               0.008416
