                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.86439,                  1.305,                 1.2681,                 1.1759,                0.65451,                0.69861,                0.75594,                0.55209,                0.64905,                0.68936,                0.74033,                0.51007,                0.91679,                 2.3412,                 1.5339,                 1.4135,               0.008911,               0.008911,               0.008911
                     24,                0.82095,                 1.3499,                 1.2147,                  1.152,                0.71899,                0.54823,                0.67582,                0.47895,                 0.6011,                 0.5966,                0.65534,                0.45059,                0.86928,                  2.185,                 1.9459,                 1.3967,              0.0088615,              0.0088615,              0.0088615
                     25,                0.84485,                 1.2507,                 1.1978,                 1.1787,                0.70834,                0.68313,                0.74993,                0.54575,                0.70124,                0.67405,                0.73525,                0.48972,                0.90014,                 2.2372,                 1.5597,                 1.3893,               0.008812,               0.008812,               0.008812
                     26,                0.83028,                 1.2783,                 1.1706,                 1.1482,                0.59912,                0.77439,                0.77122,                0.56715,                0.58994,                0.76653,                0.76355,                0.55451,                0.85691,                 2.0328,                 1.5244,                 1.3615,              0.0087625,              0.0087625,              0.0087625
                     27,                0.85759,                 1.3815,                 1.2275,                  1.177,                0.57221,                0.76042,                0.75153,                0.55225,                0.56529,                0.75258,                0.73154,                0.51331,                0.85844,                 2.0527,                 1.4944,                 1.4226,               0.008713,               0.008713,               0.008713
                     28,                0.81063,                 1.2371,                 1.1609,                 1.1571,                0.74862,                0.78386,                0.80056,                0.56317,                0.73667,                0.77653,                0.78378,                0.55127,                0.87451,                 2.0801,                 1.4195,                 1.4674,              0.0086635,              0.0086635,              0.0086635
                     29,                 0.8092,                  1.227,                 1.1199,                 1.1445,                0.71535,                0.68226,                0.72997,                0.53444,                0.70583,                0.67461,                0.69701,                 0.5005,                0.87733,                 2.0948,                 1.4514,                  1.504,               0.008614,               0.008614,               0.008614
                     30,                0.81223,                 1.2453,                 1.0868,                 1.1296,                0.60998,                 0.7656,                0.73308,                0.50511,                0.58923,                0.72544,                0.68285,                0.44087,                 1.0071,                 2.9136,                 1.6006,                  1.683,              0.0085645,              0.0085645,              0.0085645
                     31,                0.80895,                 1.2775,                  1.099,                  1.149,                0.71115,                0.73661,                0.77026,                0.54676,                0.71115,                0.73661,                0.77171,                0.51806,                0.93171,                  2.161,                 1.4744,                 1.4981,               0.008515,               0.008515,               0.008515
                     32,                0.80804,                 1.2381,                 1.1027,                 1.1326,                0.71605,                0.68504,                0.76971,                0.57548,                 0.6971,                0.66922,                0.72208,                0.54479,                0.83479,                 1.9652,                 1.4043,                 1.4443,              0.0084655,              0.0084655,              0.0084655
                     33,                0.80372,                 1.2491,                 1.0895,                 1.1451,                0.66667,                0.72033,                0.76689,                0.55728,                0.63012,                0.67866,                0.71046,                 0.4663,                0.90071,                 2.8854,                 1.3792,                 1.5136,               0.008416,               0.008416,               0.008416
                     34,                0.83444,                 1.2182,                 1.0884,                 1.1649,                0.76038,                0.65057,                0.77104,                0.55159,                0.73949,                0.65399,                0.73692,                0.51547,                0.95182,                 2.4911,                 1.3434,                 1.5143,              0.0083665,              0.0083665,              0.0083665
